GENE	293A_WT_T22_AB_XF498	293A_LKB1_T22_AB	293A_PTEN_T22_AB	293A_VHL_T22_AB	293A_BAP1NUMBER2_16_T25_AB	293A_CDH1NUMBER2_15_T24_AB	293A_NF2NUMBER2_3_T24_AB	293A_WT_T21_AB_XF646	293A_PBRM1_T25_AB	293A_SETD2_T24_AB	293A_WT_T20_AB_XF804	293A_ARID1A_T21_AB	293A_NF1_T24_AB	293A_RB1_T21_AB	293A_TP53_T21_AB	293A_WT_T21_AB_XF821	293A_KEAP1_T22_AB	293A_g53BP1#1_T22_AB
A1BG	-3.976	0.325	-2.268	-13.424	-1.9780000000000002	-6.636	-13.668	2.6719999999999997	-4.0489999999999995	-3.721	-10.339	-12.501	-1.496	2.411	-1.157	0.45799999999999996	5.73	-16.922
A1CF	-0.221	4.165	1.068	11.453	-1.936	2.201	-7.5920000000000005	1.028	-0.613	5.647	5.029	-0.509	2.955	2.438	-0.042	6.246	-4.169	4.336
A2M	11.255	13.856	2.643	14.523	9.193	3.0439999999999996	-4.289	4.046	-1.074	4.912	4.074	4.976	0.018000000000000002	12.32	10.42	-3.468	15.636	0.13699999999999998
A2ML1	-10.607	-5.756	-15.726	-10.805	-17.877	-10.6	-13.520999999999999	-14.324000000000002	-11.535	-13.244000000000002	-2.162	-14.915999999999999	-5.025	-5.92	-11.45	-3.412	-4.492	-5.1720000000000015
A3GALT2	-7.8439999999999985	-3.1180000000000003	-2.142	-3.3760000000000003	-2.967	-2.7739999999999996	-9.805	-9.34	-7.648	-8.573	-10.568	-9.185	-5.97	-14.048	-8.173	-5.865	-11.538	-5.509
A4GALT	-9.235	-10.674	-7.77	-16.271	-10.031	-8.281	-15.124	-15.058	-8.246	-5.752000000000001	-9.814	-4.89	-1.831	-5.251	-10.307	-3.637	-11.112	-9.111
A4GNT	-14.408	-8.95	-13.087	-7.95	-9.16	-18.887999999999998	-7.097	-17.165	-14.872	-18.515	-15.945	-18.772000000000002	-7.886	-8.379	-5.2379999999999995	-9.224	-11.667	-6.02
AAAS	-2.899	-7.387	-4.456	-6.527	-13.854000000000001	4.11	-14.722999999999999	1.526	-12.544	-4.335	9.791	-3.51	2.0580000000000003	-0.589	7.415	-12.479000000000001	0.21899999999999997	-0.6759999999999999
AACS	-17.804000000000006	-7.231	-16.182000000000002	-14.937	-6.875	-9.427	-3.9139999999999997	-12.703	-19.04	-10.882	-14.564	-18.616	-11.943	-9.636000000000001	-2.506	-1.986	-10.334000000000001	-17.837
AADAC	-24.528	-21.171	-25.141	-12.765	-20.756	-22.179000000000002	-13.892000000000001	-24.588	-16.822	-26.248	-25.874000000000002	-31.948	-12.306	-12.814	-10.623	-19.669	-23.776	-21.418000000000006
AADACL2	-16.602	-12.395	-23.277	-20.01	-14.992	-14.414000000000001	-14.513	-14.526	-16.119	-25.438000000000002	-14.168	-22.127	-9.359	-22.21	-10.382	-11.097999999999999	-10.831	-13.598
AADACL3	-14.501	-7.901	-18.729	-3.919	-14.978	-17.084	-8.597999999999999	-17.307000000000002	-8.802999999999999	-14.354000000000001	-10.862	-12.927	-2.565	-14.533	-6.218999999999999	-11.655999999999999	-10.007	-21.527
AADACL4	-8.242	-13.875	-7.04	-13.318	-11.029000000000002	-6.94	-5.808	-11.845999999999998	-3.728	-14.504000000000001	-7.75	-14.699000000000002	-2.127	-12.91	-1.63	-16.02	-15.573	-18.009
AADAT	-28.422	-15.967	-25.029	-23.078000000000007	-20.488000000000003	-24.609	-18.464000000000002	-26.539	-25.123	-23.993000000000002	-28.024	-27.445	-10.288	-22.46	-21.223000000000003	-20.995	-19.078	-28.921
AAED1	-13.65	-5.0539999999999985	-11.293	-3.334	-7.361000000000001	-8.902000000000001	-9.182	-15.029000000000002	-12.657	-11.571	-18.230999999999998	-23.879	-10.995	-17.359	-12.402999999999999	-15.185	-12.957	-13.015999999999998
AAGAB	-12.679	-6.2360000000000015	-20.529	-6.149	-8.262	-8.073	-8.262	-11.865	-19.849	-13.677999999999999	-12.595999999999998	-18.832	-7.386	-11.129000000000001	-6.263999999999999	-7.941	-12.562999999999999	-26.136
AAK1	-12.409	-13.399	-14.767	-6.04	-14.51	-3.469	-13.452	-13.792	-7.709	-11.965	-16.307000000000002	-14.539000000000001	-11.847000000000001	-17.41	-10.307	-10.575999999999999	-17.809	-21.851
AAMDC	-19.147	-14.447	-23.017	-19.033	-20.212	-21.68	-21.984	-14.618	-14.077	-18.892	-21.188000000000002	-21.743000000000002	-14.607000000000001	-5.0969999999999995	-11.822000000000001	-11.946	-10.181000000000001	-11.559
AAMP	35.407	25.285	47.331	21.077	21.81	25.063000000000002	15.520999999999999	24.375	23.625999999999998	23.264	32.795	30.36	10.985999999999999	33.87	13.067	25.464000000000002	21.364	17.660999999999994
AANAT	-16.829	-21.34	-36.631	-18.496	-22.834	-26.724	-12.306	-32.736999999999995	-23.953000000000003	-22.743000000000002	-20.437	-27.7	-9.829	-20.628	-10.799000000000001	-31.524	-26.92	-27.915
AAR2	-8.972000000000003	-3.008	-28.324	10.364	-13.99	-12.504000000000001	-7.992999999999999	-8.399	-4.628	-3.71	-11.542	-19.407	0.21	-22.261999999999997	-5.4639999999999995	-5.252999999999999	-14.624	-3.109
AARD	-6.417000000000002	-7.39	-6.59	-7.771	-5.7010000000000005	-11.280999999999999	-4.2	-8.338	-15.946	-7.007999999999999	-11.527000000000001	-11.457	-0.672	-13.029000000000002	-4.1530000000000005	-6.433	-14.485999999999999	-6.192
